34 34
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,A,X,0,X,0,0,0,0,0,X,0,0,0,X,0,0,0,0,0,X,0,0,0,0,0,0,X,0,X,0,0,0,X
X,0,X,0,X,X,0,X,X,X,X,0,X,0,X,X,X,X,X,0,X,0,X,0,X,X,X,X,0,X,0,X,0,X
X,0,X,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,X,0,X,0,X,X,X,0,0,0,0,X,0,X,0,X
X,0,X,X,0,X,0,X,X,0,X,X,X,0,X,X,X,0,0,0,0,0,0,0,0,0,X,0,X,X,0,X,0,X
X,0,0,0,0,X,0,0,X,0,X,0,X,0,X,0,X,0,X,X,X,0,X,X,X,0,X,0,X,B,0,X,0,X
X,0,X,X,X,X,X,0,X,0,X,0,X,0,0,0,X,0,X,C,X,0,X,0,X,0,X,0,X,X,X,X,0,X
X,X,X,0,0,0,X,0,X,0,X,0,X,0,X,X,X,0,X,0,X,0,X,0,0,0,X,0,X,0,X,0,0,X
X,0,X,0,X,0,0,0,X,0,0,0,X,0,X,0,0,0,X,0,X,0,X,X,X,0,X,0,0,0,0,0,0,X
X,0,X,X,X,0,X,X,X,X,X,0,X,0,X,0,X,X,X,0,X,0,X,0,X,0,X,X,X,X,X,X,X,X
X,0,0,0,0,0,X,D,0,0,X,E,X,0,X,0,X,X,X,0,X,0,X,0,X,0,0,X,X,F,0,0,0,X
X,0,X,X,X,0,X,X,X,0,X,X,X,X,X,0,X,0,0,0,X,0,0,0,X,0,0,0,X,X,X,X,0,X
X,0,X,0,X,0,0,0,X,0,0,0,0,0,0,0,X,0,X,X,X,X,X,X,X,0,X,0,X,0,X,0,0,X
X,0,X,0,X,X,X,0,X,X,X,X,0,X,X,0,X,0,0,0,0,0,0,0,X,0,X,0,0,0,0,0,X,X
X,0,0,0,G,X,0,0,X,0,0,X,0,0,X,0,X,0,X,X,X,X,X,X,X,0,X,X,0,X,X,X,X,X
X,X,X,X,X,X,X,0,X,0,X,X,X,0,X,0,0,0,X,0,0,0,0,0,0,0,0,X,0,X,0,0,0,X
X,0,0,0,X,X,X,0,X,0,X,H,X,0,X,0,X,X,X,0,X,0,X,0,0,X,X,X,0,X,0,X,0,X
X,0,X,X,X,0,0,0,0,0,0,0,0,0,X,0,X,0,X,0,X,I,X,X,0,0,0,0,0,0,0,X,0,X
X,0,0,0,0,0,X,0,X,X,X,X,X,X,X,0,X,0,X,X,X,X,X,0,0,X,0,X,0,X,X,X,0,X
X,0,X,X,X,X,X,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,X,0,X,X,0,X,0,0,0,X,0,X
X,0,X,0,X,J,X,X,0,X,0,X,X,X,X,0,X,0,X,X,X,0,X,0,X,0,0,X,X,X,0,X,X,X
X,X,X,0,X,0,0,X,0,X,0,X,X,X,0,0,0,0,X,K,X,0,X,0,X,X,0,0,X,0,0,0,0,X
X,0,0,0,X,0,X,X,0,X,0,0,0,X,X,X,X,0,X,0,0,0,X,0,0,X,X,0,0,0,X,X,X,X
X,0,X,X,X,0,0,0,0,X,X,0,0,0,0,0,X,0,X,X,X,X,X,X,0,0,X,X,X,X,X,X,L,X
X,0,0,0,0,0,X,X,X,X,X,0,X,X,X,0,X,0,0,0,0,0,0,X,X,0,0,0,X,0,0,0,0,X
X,0,X,X,X,0,X,0,0,M,X,0,0,0,X,0,X,0,0,0,0,X,0,0,X,X,X,0,X,0,X,X,X,X
X,0,0,0,X,0,X,0,X,X,X,0,X,0,X,0,X,X,X,X,0,X,X,0,0,0,0,0,X,0,X,0,X,X
X,0,X,0,X,X,X,0,X,X,0,0,X,0,X,0,0,0,0,X,0,0,X,0,X,X,X,0,X,0,0,0,X,X
X,0,X,0,0,0,0,0,0,X,0,X,X,0,X,X,X,X,X,X,X,X,X,0,X,0,X,0,X,X,X,0,X,X
X,0,X,X,X,0,X,X,X,X,0,X,0,0,0,0,0,0,0,0,0,0,X,X,X,0,X,0,0,0,X,0,X,X
X,0,0,0,X,0,0,X,0,0,0,X,0,X,X,0,X,X,X,0,X,0,0,0,0,0,X,0,X,0,X,0,X,X
X,0,X,X,X,0,X,X,X,0,X,X,0,X,0,0,X,0,X,0,X,X,X,X,X,X,X,0,X,0,X,0,X,X
X,0,0,0,0,0,0,0,0,0,X,N,0,X,0,X,X,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
